pr	head_sha	event	workflow	run_id	attempt	run_attempt	job_id	job	labels	runner_id	conclusion	started_at	completed_at	api_elapsed_seconds	runner_elapsed_seconds	url
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Arnes tests	33485406679	1	1	99784198250	arnes	ubuntu-latest	1000008464	success	2026-09-01T08:07:07Z	2026-09-01T08:08:07Z	60	60	https://github.com/SebastienElet/dotfiles/actions/runs/33485406679/job/99784198250
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Lint	33485406724	1	1	99784198466	Lua	macos-latest	1000008465	success	2026-09-01T08:07:07Z	2026-09-01T08:07:20Z	13	13	https://github.com/SebastienElet/dotfiles/actions/runs/33485406724/job/99784198466
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Lint	33485406724	1	1	99784198673	Shell scripts	macos-latest	1000008472	success	2026-09-01T08:07:23Z	2026-09-01T08:07:42Z	19	19	https://github.com/SebastienElet/dotfiles/actions/runs/33485406724/job/99784198673
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Lint	33485406724	1	1	99784198682	Fish shell (macos-latest)	macos-latest	1000008466	success	2026-09-01T08:07:07Z	2026-09-01T08:07:23Z	16	16	https://github.com/SebastienElet/dotfiles/actions/runs/33485406724/job/99784198682
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Lint	33485406724	1	1	99784198687	Fish shell (ubuntu-latest)	ubuntu-latest	1000008469	success	2026-09-01T08:07:07Z	2026-09-01T08:07:24Z	17	17	https://github.com/SebastienElet/dotfiles/actions/runs/33485406724/job/99784198687
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Lint	33485406724	1	1	99784198742	Text configuration	ubuntu-latest	1000008470	success	2026-09-01T08:07:07Z	2026-09-01T08:07:24Z	17	17	https://github.com/SebastienElet/dotfiles/actions/runs/33485406724/job/99784198742
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	Smoke tests	33485406617	1	1	99784198085	Minimal macOS profile	macos-latest	1000008471	success	2026-09-01T08:07:20Z	2026-09-01T08:10:30Z	190	190	https://github.com/SebastienElet/dotfiles/actions/runs/33485406617/job/99784198085
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	TypeScript	33485406728	1	1	99784198358	TypeScript lint	ubuntu-latest	1000008463	success	2026-09-01T08:07:06Z	2026-09-01T08:07:14Z	8	8	https://github.com/SebastienElet/dotfiles/actions/runs/33485406728/job/99784198358
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	TypeScript	33485406728	1	1	99784198603	Bun tests	ubuntu-latest	1000008467	success	2026-09-01T08:07:07Z	2026-09-01T08:07:33Z	26	26	https://github.com/SebastienElet/dotfiles/actions/runs/33485406728/job/99784198603
280	49f7766d943626a7db8d79231fc5c20267b7dba1	pull_request	TypeScript	33485406728	1	1	99784198774	TypeScript types	ubuntu-latest	1000008468	success	2026-09-01T08:07:07Z	2026-09-01T08:07:17Z	10	10	https://github.com/SebastienElet/dotfiles/actions/runs/33485406728/job/99784198774
